Subject,BPM,RMSSD,SDNN,PNN50,SD1,SD2,LF_HF,Label
Arianna,1.0191854042482371,0.9087339986153811,1.0556463083531689,0.6011661722272772,0.9087765422335485,1.0702749990131586,1.1618974515954248,Baseline
Arianna,1.0276028170359677,0.8616379497127683,0.9877580831829555,0.44615342886500803,0.8616540497414276,1.000394922251931,1.3471577199541485,Baseline
Arianna,1.0322349429276945,0.7937758465484918,0.8889036912691358,0.2974356192433387,0.7937644169706803,0.8985876451956621,1.7172856430391816,Baseline
Arianna,1.0248617718682125,0.8275710734127281,0.8650639386042828,0.6011661722272772,0.8267527766684117,0.8692628321329338,1.5802859272514909,Baseline
Arianna,1.0203751975073136,0.8375019852311907,0.8539088685373452,0.6011661722272772,0.8375157754809794,0.8558729618270571,1.1953761527130133,Baseline
Arianna,1.0158942651275689,0.8755985335509235,0.9007894932368103,0.6043638646327414,0.8755793117056276,0.9036886158184478,1.297232853918782,Baseline
Arianna,1.01196700209989,0.87715565770861,0.8417581889445733,0.4532728984745561,0.8771208688619104,0.8382045572729365,1.482497551574706,Baseline
Arianna,1.0019247237687845,1.0549743177117552,0.9398928528876475,1.2217248016231763,1.0549470379410057,0.9272500475005793,0.5546434870998858,Baseline
Arianna,0.9958212453314556,1.0769555088277376,0.9699472667280407,1.228328719469788,1.0770079875856946,0.958308375489483,0.6271621877107294,Baseline
Arianna,0.9909204257623765,1.0893441851700283,1.067882743909561,1.2350044190321237,1.0893704794738805,1.0659928464463633,1.043815879337121,Baseline
Arianna,0.9828643836610065,1.1593120713321245,1.149531453480918,1.7167918572259742,1.1594278789545507,1.1489527256806713,0.6593946907214835,Baseline
Arianna,0.9788645202999009,1.1474236560180942,1.1493118360564036,1.7167918572259742,1.1475977848632377,1.1499622246616177,0.45305968396135277,Baseline
Arianna,0.972203770816488,1.1480389844337762,1.1667781462845328,1.4202550818869424,1.1480885088653696,1.1692476716011555,0.6984791895930456,Baseline
